6,44,-1
4,8,-1
13,44,-1
186,445,-1
3106,3150,-1
261,355,-1
54,69,-1
78,77,1
148,146,1
122,103,1
141,106,1
520,349,1
10,14,-1
309,173,1
373,277,1
98,101,-1
115,101,1
41,46,-1
373,276,1
36,45,-1
695,475,1
34,22,1
603,645,-1
232,185,1
179,267,-1
289,380,-1
75,94,-1
27,0,1
82,122,-1
469,403,1
24,12,1
283,292,-1
7,0,1
214,25,1
562,571,-1
10,0,1
28,0,1
120,113,1
187,326,-1
218,189,1
490,413,1
459,277,1
1261,526,1
48,49,-1
27,6,1
40,58,-1
7,0,1
21,16,1
58,32,1
76,96,-1
845,846,-1
118,157,-1
493,579,-1
8,6,1
423,451,-1
161,192,-1
79,67,1
62,78,-1
517,588,-1
364,316,1
246,282,-1
21,21,-1
5,10,-1
19,2,1
62,58,1
16,0,1
152,312,-1
209,372,-1
4,0,1
47,27,1
196,57,1
4,0,1
53,10,1
62,86,-1
268,139,1
838,788,1
183,140,1
26,24,1
158,236,-1
241,239,1
213,189,1
42,27,1
19,24,-1
153,131,1
625,562,1
380,108,1
627,537,1
32,36,-1
21,94,-1
238,227,1
607,537,1
22,23,-1
6,0,1
117,71,1
22,11,1
82,240,-1
3,3,-1
99,263,-1
521,388,1
147,104,1
311,280,1
10,3,1
1038,956,1
21,11,1
164,157,1
76,53,1
95,87,1
92,120,-1
65,25,1
716,689,1
761,581,1
330,308,1
21,73,-1
233,155,1
35,0,1
90,42,1
123,139,-1
3,0,1
9,6,1
49,34,1
515,453,1
7,2,1
116,72,1
295,267,1
356,379,-1
360,502,-1
324,231,1
175,124,1
295,36,1
99,153,-1
477,376,1
363,556,-1
274,438,-1
47,26,1
237,233,1
777,408,1
766,646,1
113,99,1
206,133,1
591,755,-1
3,0,1
6,10,-1
2,0,1
264,291,-1
216,224,-1
2,0,1
71,18,1
41,27,1
9,10,-1
46,48,-1
223,95,1
484,466,1
388,639,-1
282,194,1
6,0,1
43,60,-1
243,169,1
115,111,1
563,475,1
35,66,-1
25,68,-1
4,18,-1
31,32,-1
668,555,1
78,124,-1
13,119,-1
50,75,-1
137,174,-1
221,252,-1
59,82,-1
26,16,1
28,46,-1
84,175,-1
113,111,1
32,4,1
28,0,1
44,8,1
16,6,1
68,44,1
42,9,1
116,88,1
153,96,1
272,151,1
7,14,-1
101,198,-1
261,184,1
12,3,1
136,160,-1
712,560,1
81,22,1
288,285,1
24,16,1
19,9,1
128,124,1
80,51,1
86,58,1
57,40,1
812,410,1
190,44,1
160,104,1
227,122,1
180,2,1
408,556,-1
46,20,1
28,38,-1
94,163,-1
1631,963,1
205,104,1
167,98,1
465,413,1
109,60,1
216,136,1
20,2,1
4,0,1
41,25,1
10,6,1
3,2,1
6,0,1
569,1010,-1
14,8,1
300,311,-1
49,68,-1
86,31,1
52,51,1
20,30,-1
49,75,-1
38,103,-1
9,29,-1
7,230,-1
3,9,-1
723,266,1
21,8,1
352,427,-1
29,64,-1
3,27,-1
3,0,1
14,2,1
53,40,1
507,438,1
110,66,1
257,346,-1
322,259,1
19,24,-1
22,12,1
5,7,-1
173,154,1
559,666,-1
2,0,1
3,2,1
51,94,-1
12,9,1
19,35,-1
20,51,-1
62,103,-1
466,405,1
68,115,-1
969,898,1
631,898,-1
9,5,1
105,140,-1
61,182,-1
33,55,-1
44,58,-1
4,3,1
38,41,-1
6,8,-1
26,53,-1
2,0,1
7,0,1
4,9,-1
67,100,-1
17,40,-1
8,20,-1
3,0,1
106,110,-1
40,15,1
2,0,1
2,0,1
6,14,-1
22,18,1
63,159,-1
7,7,-1
2,2,-1
16,9,1
3,0,1
10,0,1
42,56,-1
39,38,1
64,62,1
64,76,-1
43,53,-1
2,0,1
462,569,-1
13,16,-1
148,168,-1
26,25,1
60,71,-1
42,203,-1
25,32,-1
133,118,1
390,223,1
295,377,-1
145,177,-1
7,13,-1
4,5,-1
8,11,-1
23,30,-1
15,0,1
435,457,-1
70,0,1
4,0,1
14,2,1
27,16,1
27,31,-1
2,0,1
79,121,-1
255,236,1
596,516,1
264,317,-1
209,280,-1
167,381,-1
446,346,1
33,0,1
19,0,1
2,0,1
41,46,-1
9,3,1
42,41,1
16,0,1
249,468,-1
228,220,1
82,50,1
92,52,1
77,98,-1
144,172,-1
70,62,1
91,561,-1
51,77,-1
19,8,1
21,22,-1
140,162,-1
87,23,1
13,3,1
2,0,1
39,28,1
7,6,1
9,3,1
23,22,1
144,43,1
124,51,1
15,58,-1
4,6,-1
7,19,-1
56,15,1
145,365,-1
7,5,1
1216,719,1
492,456,1
231,279,-1
204,355,-1
63,54,1
4,3,1
135,126,1
9,10,-1
68,67,1
9,13,-1
4,0,1
4,0,1
7,7,-1
4,0,1
4,0,1
8,15,-1
13,13,-1
6,6,-1
54,87,-1
19,13,1
54,42,1
64,97,-1
18,19,-1
61,16,1
43,69,-1
17,5,1
29,80,-1
244,420,-1
26,6,1
106,111,-1
13,4,1
478,337,1
15,0,1
15,6,1
223,255,-1
20,12,1
41,14,1
15,10,1
30,50,-1
257,203,1
21,90,-1
306,132,1
67,76,-1
6,2,1
33,20,1
311,357,-1
764,496,1
148,65,1
275,176,1
5,13,-1
3,3,-1
6,11,-1
38,11,1
23,5,1
109,128,-1
87,133,-1
4,12,-1
2,0,1
6,3,1
2,0,1
53,41,1
201,176,1
68,35,1
74,106,-1
42,43,-1
183,224,-1
73,93,-1
57,67,-1
194,259,-1
354,547,-1
22,8,1
327,189,1
66,218,-1
2,0,1
30,92,-1
15,24,-1
36,85,-1
27,66,-1
411,870,-1
24,45,-1
17,145,-1
5,7,-1
71,101,-1
4,4,-1
6,0,1
126,71,1
156,89,1
57,12,1
165,156,1
7,2,1
13,0,1
1517,1525,-1
192,146,1
257,162,1
4,0,1
14,0,1
68,59,1
29,31,-1
32,7,1
17,29,-1
19,14,1
22,31,-1
33,22,1
87,95,-1
351,259,1
75,128,-1
52,63,-1
70,6,1
58,50,1
34,2,1
2,0,1
28,30,-1
13,4,1
18,7,1
16,0,1
131,69,1
745,428,1
658,1073,-1
42,4,1
12,0,1
21,12,1
48,50,-1
22,37,-1
149,250,-1
8,3,1
26,13,1
148,151,-1
5,4,1
67,80,-1
172,222,-1
24,22,1
76,30,1
5,0,1
61,53,1
8,4,1
26,20,1
47,31,1
5,0,1
48,35,1
455,439,1
8,0,1
888,778,1
12,0,1
27,37,-1
24,26,-1
14,5,1
22,12,1
35,39,-1
170,84,1
2,3,-1
27,6,1
14,10,1
45,67,-1
43,50,-1
10,0,1
2,0,1
29,4,1
195,159,1
61,23,1
23,14,1
29,45,-1
76,41,1
78,99,-1
38,37,1
14,13,1
20,13,1
66,62,1
67,10,1
16,0,1
20,0,1
31,11,1
69,118,-1
47,41,1
23,20,1
105,47,1
166,115,1
386,839,-1
66,30,1
8,0,1
82,14,1
88,86,1
45,21,1
388,363,1
148,194,-1
4,2,1
55,46,1
2,0,1
158,103,1
450,1024,-1
141,305,-1
336,462,-1
18,71,-1
21,0,1
93,89,1
24,0,1
4,8,-1
8,5,1
41,76,-1
61,80,-1
290,200,1
3,0,1
2,0,1
3,0,1
2,0,1
95,102,-1
23,20,1
95,80,1
122,71,1
18,25,-1
16,12,1
2,0,1
206,176,1
26,18,1
17,14,1
22,9,1
35,74,-1
11,18,-1
27,78,-1
19,14,1
6,4,1
6,0,1
51,75,-1
22,54,-1
32,57,-1
3,0,1
2,0,1
28,17,1
14,20,-1
14,21,-1
329,306,1
17,12,1
46,82,-1
44,13,1
6,28,-1
32,3,1
46,34,1
32,33,-1
5,0,1
2,0,1
57,39,1
32,15,1
374,335,1
172,283,-1
41,33,1
36,9,1
48,22,1
133,65,1
9,3,1
237,232,1
46,41,1
60,50,1
431,469,-1
120,107,1
3,0,1
197,117,1
9,8,1
47,21,1
2,0,1
5,0,1
24,0,1
45,3,1
296,160,1
128,92,1
370,314,1
7,0,1
269,276,-1
62,74,-1
54,11,1
124,112,1
70,58,1
62,58,1
8,0,1
7,6,1
13,2,1
29,23,1
166,100,1
3,0,1
159,233,-1
450,421,1
23,11,1
780,936,-1
40,55,-1
124,189,-1
58,66,-1
194,237,-1
6,9,-1
17,0,1
80,95,-1
37,40,-1
79,51,1
2,0,1
58,59,-1
19,35,-1
8,8,-1
6,0,1
11,7,1
11,20,-1
317,298,1
37,25,1
52,79,-1
12,0,1
8,28,-1
78,36,1
32,20,1
40,40,-1
260,6,1
35,23,1
101,64,1
265,389,-1
610,784,-1
390,317,1
3,0,1
63,0,1
4,0,1
253,265,-1
29,43,-1
58,106,-1
14,11,1
38,18,1
141,167,-1
68,43,1
25,30,-1
245,180,1
13,4,1
137,126,1
60,72,-1
68,242,-1
109,152,-1
268,292,-1
132,148,-1
6,12,-1
89,104,-1
21,5,1
107,94,1
2,0,1
2,0,1
2,2,-1
32,68,-1
13,16,-1
61,93,-1
76,30,1
6,4,1
2,0,1
4,8,-1
134,351,-1
193,147,1
16,16,-1
324,297,1
63,98,-1
48,62,-1
16,79,-1
226,203,1
16,23,-1
39,19,1
67,67,-1
103,224,-1
27,48,-1
97,98,-1
163,122,1
97,86,1
