Word,Democrat Frequency,Republican Frequency
forget,73,93
sacrifices,57,67
made,194,259
service,354,547
civilians,22,8
lost,327,189
freedom,66,218
fla,2,0
success,30,92
saving,15,24
b,36,85
loans,27,66
small,411,870
biz,24,45
ppp,17,145
restart,5,7
few,71,101
prosecuted,4,4
orlando,6,0
residents,126,71
pay,156,89
rent,57,12
assistance,165,156
citys,7,2
rental,13,0
more,1517,1525
information,192,146
go,257,162
felicidades,4,0
agbecerra,14,0
hes,68,59
nd,29,31
hispanic,32,7
nominated,17,29
cabinet,19,14
hhsgov,22,31
sec,33,22
increase,87,95
access,351,259
improve,75,128
among,52,63
color,70,6
victory,58,50
immigrant,34,2
#dreamandpromiseact,2,0
permanent,28,30
pathway,13,4
citizenship,18,7
#dreamers,16,0
already,131,69
make,745,428
american,658,1073
daca,42,4
#heretostay,12,0
unite,21,12
labor,48,50
organizations,22,37
discuss,149,250
#covidvaccine,8,3
worker,26,13
safety,148,151
unions,5,4
continuing,67,80
efforts,172,222
mind,24,22
voters,76,30
legalized,5,0
marijuana,61,53
adult,8,4
remove,26,20
criminal,47,31
prohibitions,5,0
cast,48,35
vote,455,439
#wewantmore,8,0
act,888,778
#endcannabisprohibition,12,0
backbone,27,37
ensures,24,26
treated,14,5
wages,22,12
stronger,35,39
benefits,170,84
workplaces,2,3
con,27,6
mi,14,10
represent,45,67
advocate,43,50
puerto,10,0
ricans,2,0
latinos,29,4
around,195,159
epa,61,23
established,23,14
preserve,29,45
environment,76,41
vital,78,99
agency,38,37
pledge,14,13
core,20,13
values,66,62
recommit,67,10
#solvingtheclimatecrisis,16,0
#epaat,20,0
floridians,31,11
dc,69,118
push,47,41
compromise,23,20
stimulus,105,47
package,166,115
businesses,386,839
holidays,66,30
#medicaid,8,0
ends,82,14
meet,88,86
least,45,21
ensure,388,363
receive,148,194
outofpocket,4,2
cost,55,46
#hapiact,2,0
save,158,103
great,450,1024
committee,141,305
week,336,462
discussed,18,71
joebidens,21,0
restore,93,89
#daca,24,0
expedite,4,8
pr,8,5
disaster,41,76
reform,61,80
stop,290,200
separating,3,0
arecibo,2,0
observatory,3,0
telescope,2,0
helped,95,102
view,23,20
far,95,80
away,122,71
worlds,18,25
identify,16,12
meteors,2,0
could,206,176
threaten,26,18
earth,17,14
inspire,22,9
generation,35,74
pursue,11,18
space,27,78
stem,19,14
nsf,6,4
ucf,6,0
rebuild,51,75
develop,22,54
mission,32,57
juliegargotta,3,0
hapi,2,0
adults,28,17
immunity,14,20
according,14,21
million,329,306
lowincome,17,12
individuals,46,82
covered,44,13
#florida,6,28
rosa,32,3
parks,46,34
simple,32,33
defiance,5,0
ignited,2,0
civil,57,39
movement,32,15
when,374,335
she,172,283
refused,41,33
bus,36,9
seat,48,22
white,133,65
passenger,9,3
remember,237,232
bravery,46,41
courage,60,50
many,431,469
others,120,107
#rosaparksday,3,0
too,197,117
urban,9,8
tribal,47,21
bearing,2,0
brunt,5,0
#climatecrisis,24,0
bidenharris,45,3
administration,296,160
ready,128,92
right,370,314
wrongs,7,0
most,269,276
impacted,62,74
#worldaidsday,54,11
weve,124,112
living,70,58
disease,62,58
#endthestigma,8,0
eradicate,7,6
hiv,13,2
lifetime,29,23
testing,166,100
curbing,3,0
w,159,233
he,450,421
heads,23,11
about,780,936
wonderful,40,55
opportunity,124,189
speak,58,66
students,194,237
damaging,6,9
#climatechange,17,0
combat,80,95
owe,37,40
clean,79,51
publicradiogirl,2,0
heres,58,59
star,19,35
manager,8,8
sarah,6,0
resident,11,7
mike,11,20
there,317,298
prepared,37,25
qualified,52,79
janetyellen,12,0
ustreasury,8,28
moment,78,36
treasury,32,20
alongside,40,40
presidentelect,260,6
invest,35,23
build,101,64
economy,265,389
house,610,784
passed,390,317
versions,3,0
#heroesact,63,0
urgentlyneeded,4,0
republicans,253,265
playing,29,43
politics,58,106
enact,14,11
updated,38,18
heroes,141,167
immediately,68,43
counting,25,30
fighting,245,180
soul,13,4
clear,137,126
strengthen,60,72
americas,68,242
commitment,109,152
justice,268,292
system,132,148
notice,6,12
apply,89,104
mortgage,21,5
due,107,94
hiked,2,0
xena,2,0
#pandemic,2,2
enjoy,32,68
outdoors,13,16
safely,61,93
environmental,76,30
treasures,6,4
#lwcf,2,0
shops,4,8
business,134,351
long,193,147
owner,16,16
know,324,297
continued,63,98
#smallbusinesssaturday,48,62
#coronavirus,16,79
put,226,203
danger,16,23
losing,39,19
homes,67,67
district,103,224
provided,27,48
thousands,97,98
emergency,163,122
center,97,86
first,398,478
late,44,15
dec,71,40
nursing,17,34
responders,59,101
teachers,61,48
seniors,76,40
conditions,87,24
prioritized,6,9
general,88,93
thanksgiving,204,214
anticipation,3,0
thanksgivings,3,0
come,203,182
dream,29,47
again,173,177
commit,33,18
ourselves,56,16
think,74,92
but,733,555
well,165,210
said,79,106
mr,40,55
#happythanksgiving,14,14
story,60,97
marketplace,31,6
commi,2,0
bpcbipartisan,2,5
pray,10,29
breaks,15,5
fever,3,3
coronavirus,190,212
also,152,176
salvationarmyus,2,0
salvationarmy,2,0
rep,79,101
soto,3,0
giving,72,53
turkeys,8,16
#thanksgiving,45,35
info,88,53
below,153,180
hosted,20,27
number,87,77
uf,4,0
interns,9,7
focuses,4,11
throughout,95,128
bye,2,0
rocket,3,12
spacex,6,21
nasa,15,46
tonight,132,154
protecting,113,104
river,26,32
everglades,2,7
reef,2,0
transition,139,19
family,439,462
yours,35,36
wishing,144,108
everyone,295,175
meaningful,33,36
honor,470,561
favorite,34,29
son,25,21
nfl,3,7
meal,18,9
science,101,58
making,137,146
comeback,3,32
joe,184,113
kamala,39,7
harris,57,14
always,177,265
listen,97,85
scientists,53,40
efficacy,6,6
decisions,32,33
deserve,131,190
consistent,5,9
guidance,30,21
present,24,51
mayor,44,31
certificate,2,3
recognition,27,43
invaluable,17,9
contributions,55,36
communitywe,2,0
seeing,41,62
beyond,47,61
wants,43,79
#vaccines,2,0
https,16,28
usgsa,10,3
green,28,25
lights,44,33
#bidentransition,5,0
begin,57,54
best,197,215
interest,25,18
security,245,267
democracy,265,82
alimayorkas,20,0
latino,67,10
dhsgov,31,6
ablinken,11,0
crisistested,6,0
leader,96,111
place,134,119
relationships,6,9
allies,31,37
keep,476,370
adversaries,8,18
check,143,98
renew,35,45
breakfast,6,5
lgbt,4,0
diversity,48,10
award,42,106
person,96,57
advocating,11,19
full,203,278
entire,64,85
individual,18,24
round,25,49
onetime,6,2
checks,58,30
starting,54,68
gsaemily,17,0
approve,12,24
failure,36,6
violates,4,4
hurts,8,8
creates,16,16
national,407,588
risk,108,67
#puertorico,2,0
statehood,2,8
senators,34,49
reps,9,12
promesa,2,0
write,15,6
chapter,11,20
false,18,19
accusations,3,2
massive,28,24
voter,90,67
fraud,54,148
pressuring,5,3
state,369,514
legislators,6,9
popular,6,8
refusal,28,12
power,176,136
whole,21,18
crossed,3,3
line,115,101
several,38,53
alleged,6,15
shadow,5,0
candidate,8,20
conspiracies,5,2
leg,7,2
races,7,9
like,402,399
obvious,7,6
corruption,27,30
cases,310,47
admin,84,36
fbi,13,35
thejusticedept,11,38
investigate,28,76
january,74,24
lies,43,22
realdonaldtrump,63,551
fade,3,0
backing,3,10
interim,5,2
jguaido,2,0
unified,5,2
introduced,124,231
patients,58,94
vaccines,70,114
encourage,49,98
virus,208,102
prosperity,20,42
que,39,0
la,93,27
vacuna,2,0
del,19,7
sea,27,14
gratis,6,0
bajo,2,0
medicaid,20,5
tackle,35,7
farreaching,3,2
investments,37,33
infrastructure,61,141
electric,13,16
cards,4,5
transit,18,7
renewable,11,13
energy,74,174
buildings,6,7
repdwstweets,7,2
#transdayofremembrance,27,0
memory,43,22
despicable,10,13
violence,197,57
discrimination,44,13
murder,13,12
ever,225,182
transgender,64,0
inclusive,19,3
bigotry,17,2
hate,55,8
possible,87,71
repjenniffer,8,3
asking,29,49
agencies,37,41
iconic,9,5
structure,4,4
distant,6,0
apprenticeship,46,18
proposal,42,41
opportunities,63,85
workforce,40,62
face,146,100
both,128,148
itself,12,5
resources,242,218
recover,44,48
appear,3,11
old,22,32
judge,62,378
lacking,3,2
trial,10,21
cannot,152,115
sworn,19,11
enough,99,65
twice,13,12
deny,16,8
delay,27,28
livelihoods,24,49
friend,158,184
colleague,49,35
mentor,11,7
jim,11,21
clyburn,4,0
supported,27,59
nomination,85,96
steadfast,4,7
climate,288,37
change,224,86
ballot,149,52
people,1018,761
loud,3,7
nrdems,14,0
antisemitic,7,6
threats,34,52
faith,46,56
joined,176,285
gillibrandny,3,0
senrobportman,6,8
sengarypeters,12,5
senatorlankford,4,21
pushing,54,37
additional,69,118
houses,6,7
nonprofit,7,11
juncture,2,0
coming,78,121
rise,93,20
wear,219,28
mask,301,38
social,234,112
distance,95,23
wash,78,15
hands,113,36
season,177,164
cochairs,13,7
senate,622,751
task,27,34
force,74,133
combating,13,15
antisemitism,11,13
released,38,56
following,66,90
joint,13,20
statement,115,175
applauding,2,2
council,31,31
declaration,20,32
prioritizing,12,33
computer,7,5
former,80,77
passionate,11,8
teach,8,7
educators,21,11
ndaa,41,83
bills,94,103
cybersecurity,19,19
troop,3,12
provisions,38,57
benefit,31,48
nevada,51,0
including,160,141
yucca,3,0
mountain,11,15
military,122,263
devastated,29,6
hear,120,133
yesterdays,14,20
deadly,61,14
took,62,59
cyclists,2,0
holding,56,77
friends,127,135
heart,72,47
amazonpolicy,2,0
enhancing,8,3
#stem,3,10
engineers,4,12
expanding,29,32
broadband,42,86
amazon,17,4
applauds,5,7
sen,92,189
commerce,13,35
chairman,48,292
senatorwicker,4,69
senjackyrosen,13,2
introducing,24,37
repfranklucas,2,3
innovation,39,93
depends,18,5
every,502,515
classroom,7,18
introduce,47,61
important,434,418
legislat,2,0
awactionnews,3,2
anniversary,103,75
#horseprotectionact,10,0
commemorate,22,22
day,763,721
letting,14,17
historic,98,184
sitting,14,26
much,179,182
darker,2,0
hurting,39,40
bound,4,0
arbitrary,4,7
caps,3,0
eidl,3,3
lift,20,16
hanukkah,73,64
filled,28,25
light,102,57
love,123,71
chag,38,12
sameach,41,14
record,83,123
wildfire,27,9
forced,43,31
evacuations,5,0
threatened,11,11
air,98,128
water,102,123
quality,117,77
destroyed,15,17
west,35,101
sencortezmasto,21,3
urging,77,77
included,56,54
step,131,167
toward,54,61
greater,30,55
cooperation,13,19
middle,73,148
east,23,119
diplomats,3,3
facilitating,2,0
agreement,59,78
month,139,143
expiring,7,4
dont,312,227
wait,127,57
news,228,523
version,11,15
dear,19,27
repvaldemingss,2,0
media,31,163
resolution,58,99
reflective,5,0
society,32,25
reports,42,34
serving,74,154
sendougjones,22,3
ill,156,149
conversations,11,8
each,131,102
youve,30,30
tireless,30,33
alabama,22,28
missed,28,47
pleasure,18,44
nominee,68,54
tps,2,0
recipients,21,19
dreamers,40,3
reuniting,3,0
migrant,8,0
hearing,116,366
confirmation,31,137
head,74,34
into,280,355
johncornyn,3,15
opioid,35,27
epidemic,55,18
ensuring,79,71
dhs,25,4
personnel,10,25
equipment,20,16
flow,2,14
illegal,24,44
senatortomudall,17,4
shared,33,32
interests,21,39
nevadans,20,0
mexicans,13,0
privilege,39,42
lands,40,22
miss,82,53
underscored,2,4
lack,37,25
especially,152,148
comes,53,60
technology,23,75
nows,5,0
enrollment,202,9
httpstcofaiatwbzn,2,0
find,264,155
works,87,30
pearl,44,90
harbor,44,94
servicemembers,86,36
defended,12,26
freedoms,25,93
ultimate,14,23
sacrifice,94,143
retweet,2,8
doing,141,137
designation,5,11
arctic,39,12
wildlife,20,23
refuge,30,3
cosponsor,32,52
permanently,18,23
oil,45,31
gas,30,36
development,44,148
amendment,90,93
ratified,9,3
officially,37,36
abolishing,7,0
slavery,48,4
while,259,295
progress,81,92
root,11,5
achieve,24,22
still,309,234
surge,67,13
montgomery,24,6
boycott,14,3
began,23,22
captured,2,2
countrys,38,23
attention,36,36
start,83,67
s,44,81
incredible,69,150
big,165,272
cat,6,8
companion,4,2
prohibit,3,5
private,37,50
ownership,16,15
trade,63,102
cats,13,19
such,52,88
lions,6,9
tigers,4,9
yesterday,114,199
deaths,83,24
forever,36,76
empty,8,4
table,74,40
please,344,175
uncertainty,11,15
decision,82,118
reinstate,3,0
overdue,23,11
extend,71,60
deadline,122,88
municipalities,4,0
tribes,39,20
able,122,113
spend,33,36
cares,49,78
looking,110,115
learn,204,236
join,348,358
virtual,120,118
series,22,9
event,78,60
grateful,145,211
usdot,4,20
ftadot,2,0
collaborate,2,2
institute,10,10
mental,84,66
study,30,25
impact,89,127
children,166,181
young,75,61
immune,8,6
stress,12,6
final,73,101
cindy,2,7
school,130,197
life,183,257
sciences,6,2
participates,2,0
numerous,10,17
activities,11,11
educate,6,13
professionals,31,44
craft,13,12
brewers,6,3
distillers,3,2
employed,3,5
letter,114,211
urge,66,71
passage,29,53
designate,8,10
november,136,101
hospice,9,4
palliative,2,0
stepped,16,11
career,41,62
aging,6,2
parents,55,39
how,442,465
cyberattacks,2,0
significantly,6,4
increased,32,48
august,16,21
government,147,229
obtain,10,5
tools,37,32
cyber,16,18
very,183,181
birthday,104,228
senatorreid,3,0
dedicated,60,98
good,249,304
thrilled,41,21
celebrate,199,187
him,163,198
excited,62,57
welcome,74,93
newest,11,18
arizona,36,19
senmarkkelly,24,0
arizonans,24,8
senalexander,5,66
gives,21,42
farewell,22,27
speech,38,68
decades,58,64
senator,121,183
alexander,3,10
sought,4,6
common,34,59
ground,28,44
commonsense,9,44
solutions,46,68
problems,30,28
calling,136,96
unemployment,141,97
claiming,6,7
weather,28,23
govsisolak,2,0
debt,74,53
gratitude,42,42
theyve,56,41
gone,28,27
above,32,46
irresponsible,9,14
ending,55,30
worldwide,11,15
spark,5,0
recommitting,5,0
racial,56,5
injustice,21,9
cityoflasvegas,2,0
believe,59,76
own,107,119
universe,6,0
form,16,24
tony,8,14
clarkcountynv,2,0
operation,3,140
unlv,4,0
opens,7,10
location,53,26
campus,10,9
fulton,4,5
announcing,17,7
offices,15,15
initiative,23,36
highlight,14,35
shining,5,10
unprecedented,35,42
nominate,9,19
challenging,36,40
#shopsmall,42,45
downtown,2,12
las,41,3
vegas,13,0
wouldnt,15,10
what,443,434
without,163,139
generosity,8,7
huge,40,77
loss,83,51
goes,53,36
yourself,70,19
snhdinfo,7,0
trace,5,0
app,29,52
tool,44,25
download,10,3
let,172,124
might,29,31
exposed,28,22
steps,58,64
difficult,84,57
period,63,27
means,119,87
quite,8,9
previous,4,8
repsusielee,3,0
extraordinarily,4,3
deepest,23,17
condolences,30,32
beloved,18,13
mother,14,20
speedy,17,49
begins,37,19
women,347,354
campaign,36,48
focusing,9,10
extraordinary,27,32
unique,16,32
services,123,148
#militaryfamilyappreciationmonth,5,3
alarming,28,9
socially,18,2
frequently,8,0
icymi,42,123
enrolled,14,4
watch,160,324
#battlebornupdate,3,0
picks,9,6
foreign,59,114
policy,110,150
teams,9,6
choosing,15,7
smart,35,18
capable,12,4
reputation,3,4
globe,15,21
follow,98,75
guidelines,47,30
stay,237,133
effect,23,17
sure,329,184
advice,17,10
icegov,11,3
halt,9,3
deportations,4,0
victims,41,59
malpractice,3,3
ice,30,13
doctor,13,22
detained,15,6
seven,8,12
currently,28,47
removal,3,4
foster,21,32
adoption,17,65
#nationaladoptionday,4,11
past,147,116
peoples,55,34
colleagues,209,310
call,225,184
required,22,19
risks,22,16
adl,2,0
panel,18,18
lessons,5,11
holocaust,3,4
starts,29,13
natocinemas,2,0
rephorsford,3,0
catherinefornv,3,0
supporting,82,129
#saveyourcinema,2,0
#americaneducationweek,12,7
teacher,17,16
professional,10,14
faces,22,14
rates,37,19
taken,61,58
tune,107,242
weeks,89,91
battle,30,39
born,12,19
httpstcornkfatdx,2,0
highly,20,22
contagious,2,0
spread,218,88
athome,3,3
voice,77,47
deeply,67,40
concerning,8,10
deadliest,12,3
recorded,8,5
crimes,22,29
data,51,76
collection,13,11
reporting,24,25
jerrymoran,4,13
strengthening,16,24
nearly,97,130
ruled,11,11
administrations,56,33
process,111,154
importance,67,99
culture,31,23
senatormenendezs,2,0
museum,21,17
#latinomuseumnow,6,0
improving,26,36
indoor,13,2
innovative,15,43
breaking,44,68
ive,141,161
signed,100,160
fire,41,51
reno,4,0
ask,38,38
closely,22,15
growing,37,75
area,32,70
live,245,299
updates,20,31
senates,6,15
annual,59,80
native,161,52
heritage,37,19
rich,17,17
cultural,11,11
recognized,22,34
mmcadc,2,0
diverse,31,12
experienced,60,24
highest,53,69
rate,36,72
homelessness,25,6
last,403,377
does,63,84
assist,27,30
nevadas,4,0
homeless,15,9
pleased,75,103
awarded,26,77
glad,118,149
countys,19,7
walker,2,6
supply,10,60
drought,7,4
resilience,32,28
existing,20,11
brought,27,50
mapping,2,0
moms,12,9
understand,33,54
poor,11,12
maternal,5,5
outcomes,15,5
battlebornprog,3,0
constantly,5,7
vigilant,36,17
any,230,217
fund,49,81
se,25,10
remaining,15,22
blocking,24,59
#americarecyclesday,3,0
conserve,5,4
alltime,7,3
high,99,116
landgrant,2,2
institutions,20,40
livelihood,5,3
presented,6,20
schools,98,148
famu,2,0
unforeseen,3,0
obstacles,5,5
houseagdems,11,0
examine,5,19
challenges,117,111
colleges,12,9
left,118,151
chance,90,49
sign,183,60
heroism,15,17
defend,68,117
darkest,11,3
moments,12,7
did,104,92
requires,33,28
courts,23,31
expunge,2,0
convictions,9,4
allows,17,31
prior,8,11
offenders,2,3
request,47,50
expungement,5,0
conduct,15,24
hearings,13,53
under,148,195
intern,7,6
spotlight,8,0
#jacksonville,8,0
breonna,3,2
studies,13,8
african,14,8
shes,34,39
member,84,228
sorority,4,0
inc,6,12
student,100,49
experiences,9,5
passion,9,8
six,30,31
shown,25,40
unexpected,4,6
laughter,4,2
plenty,4,10
fscdems,9,3
repmaxinewaters,5,0
admins,18,5
move,81,97
shut,17,33
down,185,191
facilities,31,42
p,20,28
replucymcbath,4,0
jordan,5,0
though,28,19
longer,56,35
walk,15,15
spirit,31,46
inhabits,3,0
veterans,399,540
fame,4,5
servicemember,9,6
stands,21,30
scholarships,3,3
attending,19,20
historically,2,4
black,143,26
universities,10,13
minorityserving,2,0
website,38,38
#veteransday,79,89
served,113,183
brave,89,196
answered,40,30
ideals,12,9
founded,11,11
liberty,23,49
pursuit,10,19
happiness,20,8
lose,81,28
preexisting,96,14
condition,34,7
protections,119,31
gop,122,77
succeeds,10,0
dismantling,7,0
actno,3,0
preventative,10,3
requirement,6,3
expansion,23,23
charged,12,6
care#savetheaca,5,0
moving,50,60
being,221,320
hard,178,190
unnoticed,3,0
say,84,120
#militaryfamilymonth,5,3
repwilson,2,0
donald,95,10
fly,7,12
city,82,92
tab,2,0
isnt,85,60
http,9,7
want,212,299
whats,57,44
scary,7,3
hundreds,43,37
sit,18,29
mitch,75,21
mcconnells,27,5
desk,29,37
session,45,53
navy,26,49
men,135,277
#navyday,4,5
rely,34,26
instead,70,82
abandoning,5,4
net,10,8
neutrality,3,0
unconnected,3,0
should,486,571
#netneutrality,12,0
eviction,46,3
having,93,78
trouble,16,7
paying,39,24
qualify,28,6
protection,70,181
#knowyourrights,3,0
cornerstone,6,8
dignity,46,14
perfect,29,35
score,15,8
hrc,13,0
scorecard,13,7
championing,6,4
lgbtq,50,2
true,73,63
achieved,3,8
sba,7,13
recently,33,93
simpler,2,2
loan,47,54
forgiveness,7,24
application,40,33
paycheck,23,126
less,90,56
streamlines,2,0
financial,89,80
smallest,3,2
#socialdistancing,4,0
selfcare,5,0
share,84,73
#mentalhealthmatters,2,0
snap,12,0
waivers,5,3
extensions,2,0
eat,14,6
praying,26,82
lady,18,25
nowthisnews,4,0
aoc,8,8
repraskin,39,0
laying,4,13
ways,69,74
secure,88,94
