Word,Frequency,Party Affiliation
federal,1,Democrat
peaceful,1,Democrat
reforming,1,Democrat
sacred,1,Democrat
landing,1,Democrat
nations,1,Democrat
httpstcodbhmooesgk,1,Democrat
beautiful,1,Democrat
providers,1,Democrat
repjoekennedy,1,Democrat
far,1,Democrat
httpstcofhkmprbd,1,Democrat
rising,1,Democrat
shes,1,Democrat
provisions,1,Democrat
interview,1,Democrat
damaged,1,Democrat
shepherd,1,Democrat
says,1,Democrat
httpstcosudcuaizef,1,Democrat
tragic,1,Democrat
wish,1,Democrat
power,1,Democrat
httpstcokwgjycszn,1,Democrat
provides,1,Democrat
come,1,Democrat
remove,1,Democrat
own,1,Democrat
governor,1,Democrat
spiked,1,Democrat
httpstcofiupywp,1,Democrat
even,1,Democrat
together,1,Democrat
practical,1,Democrat
httpstcoklcrwyx,1,Democrat
tech,1,Democrat
votes,1,Democrat
grow,1,Democrat
nevada,1,Democrat
gave,1,Democrat
httpstcoyzhoes,1,Democrat
bogus,1,Democrat
httpstcohigixmox,1,Democrat
course,1,Democrat
high,1,Democrat
landlords,1,Democrat
servicemembersaids,1,Democrat
hour,1,Democrat
three,1,Democrat
deadly,1,Democrat
covidyesterday,1,Democrat
solution,1,Democrat
earnedthe,1,Democrat
register,1,Democrat
earth,1,Democrat
peopleeven,1,Democrat
unparalleled,1,Democrat
dpcc,1,Democrat
year,1,Democrat
httpstcorrsfaaoi,1,Democrat
everyday,1,Democrat
near,1,Democrat
waplanfinder,1,Democrat
brandon,1,Democrat
anyone,1,Democrat
pathways,1,Democrat
comfort,1,Democrat
passed,1,Democrat
diegos,1,Democrat
authorization,1,Democrat
airman,1,Democrat
bases,1,Democrat
words,1,Democrat
bobbie,1,Democrat
troops,1,Democrat
leader,1,Democrat
college,1,Democrat
number,1,Democrat
members,1,Democrat
billnow,1,Democrat
experts,1,Democrat
conflict,1,Democrat
safety,1,Democrat
bypausingfederal,1,Democrat
policyanything,1,Democrat
wisrael,1,Democrat
uniform,1,Democrat
distancing,1,Democrat
wilkies,1,Democrat
rosadelauro,1,Democrat
societal,1,Democrat
heart,1,Democrat
consti,1,Democrat
#lgbtq,1,Democrat
involved,1,Democrat
scotus,1,Democrat
street,1,Democrat
billion,1,Democrat
feet,1,Democrat
proud,1,Democrat
americas,1,Democrat
dhs,1,Democrat
summit,1,Democrat
plan,1,Democrat
wishes,1,Democrat
down,1,Democrat
held,1,Democrat
six,1,Democrat
inland,1,Democrat
#heretostay,1,Democrat
handed,1,Democrat
after,1,Democrat
light,1,Democrat
many,1,Democrat
cycling,1,Democrat
leaning,1,Democrat
repadamsmith,1,Democrat
janetyellen,1,Democrat
addition,1,Democrat
aircrafts,1,Democrat
delivering,1,Democrat
going,1,Democrat
renters,1,Democrat
report,1,Democrat
devastated,1,Democrat
longtime,1,Democrat
billor,1,Democrat
dc,1,Democrat
inspire,1,Democrat
elder,1,Democrat
financial,1,Democrat
marylander,1,Democrat
kcs,1,Democrat
strong,1,Democrat
protection,1,Democrat
clamp,1,Democrat
chips,1,Democrat
disease,1,Democrat
accept,1,Democrat
carries,1,Democrat
feature,1,Democrat
void,1,Democrat
core,1,Democrat
different,1,Democrat
life,1,Democrat
govpritzker,1,Democrat
sites,1,Democrat
httpstcojxbijrzod,1,Democrat
lake,1,Democrat
eventgovrondesantis,1,Democrat
celebrated,1,Democrat
priority,1,Democrat
phillips,1,Democrat
#ne,1,Democrat
livestream,1,Democrat
doing,1,Democrat
care,1,Democrat
senates,1,Democrat
lives,1,Democrat
httpstcopzsvmdai,1,Democrat
legal,1,Democrat
courageous,1,Democrat
whose,1,Democrat
fallout,1,Democrat
above,1,Democrat
iowan,1,Democrat
informed,1,Democrat
httpstcoxrviaecmv,1,Democrat
state,1,Democrat
which,1,Democrat
effort,1,Democrat
funny,1,Democrat
httpstcocqkorto,1,Democrat
undermining,1,Democrat
ignore,1,Democrat
httpstcoxvnh,1,Democrat
allowed,1,Democrat
than,1,Democrat
football,1,Democrat
httpstcoxaarzfnzs,1,Democrat
donor,1,Democrat
approved,1,Democrat
httpstcoxleikfcwd,1,Democrat
httpstcopdcajxffs,1,Democrat
development,1,Democrat
ten,1,Democrat
lt,1,Democrat
excuse,1,Democrat
israeli,1,Democrat
weeks,1,Democrat
arbor,1,Democrat
httpstcoshnzkxdemu,1,Democrat
daz,1,Democrat
fight,1,Democrat
httpstcoyieetfmld,1,Democrat
implementation,1,Democrat
friends,1,Democrat
deaths,1,Democrat
